Site	Sample	N	E	Salinity	ID	N_dots	L
Marchekan II	Random_sample	59.542665	150.781082	NA	1	0	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	2	0	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	3	0	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	4	0	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	5	0	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	6	0	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	7	0	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	8	0	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	9	5	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	10	8	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	11	8	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	12	4	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	13	5	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	14	14	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	15	18	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	16	3	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	17	15	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	18	21	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	19	1	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	20	2	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	21	5	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	22	4	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	23	12	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	24	7	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	25	6	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	26	6	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	27	5	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	28	0	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	29	5	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	30	26	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	31	0	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	32	2	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	33	2	NA
Marchekan II	Random_sample	59.542665	150.781082	NA	34	0	NA
Marchekan I	Mar_3	59.5411507	150.7803449	31	1	15	32.9
Marchekan I	Mar_3	59.5411507	150.7803449	31	2	5	20
Marchekan I	Mar_3	59.5411507	150.7803449	31	3	1	30
Marchekan I	Mar_3	59.5411507	150.7803449	31	4	7	NA
Marchekan I	Mar_3	59.5411507	150.7803449	31	5	3	20
Marchekan I	Mar_3	59.5411507	150.7803449	31	6	0	25.9
Marchekan I	Mar_3	59.5411507	150.7803449	31	7	0	24.6
Marchekan I	Mar_3	59.5411507	150.7803449	31	8	3	26.6
Marchekan I	Mar_3	59.5411507	150.7803449	31	9	0	32.2
Marchekan I	Mar_3	59.5411507	150.7803449	31	10	3	32.2
Marchekan I	Mar_3	59.5411507	150.7803449	31	11	3	27.9
Marchekan I	Mar_3	59.5411507	150.7803449	31	12	4	NA
Marchekan I	Mar_3	59.5411507	150.7803449	31	13	3	NA
Marchekan I	Mar_3	59.5411507	150.7803449	31	14	2	24.0
Marchekan I	Mar_3	59.5411507	150.7803449	31	15	9	21.2
Marchekan I	Mar_3	59.5411507	150.7803449	31	16	11	24.1
Marchekan I	Mar_3	59.5411507	150.7803449	31	17	6	23.5
Marchekan I	Mar_3	59.5411507	150.7803449	31	18	23	24.1
Marchekan I	Mar_3	59.5411507	150.7803449	31	19	9	24.6
Marchekan I	Mar_3	59.5411507	150.7803449	31	20	2	16.4
Marchekan I	Mar_3	59.5411507	150.7803449	31	21	9	23.8
Marchekan I	Mar_3	59.5411507	150.7803449	31	22	17	23.5
Marchekan I	Mar_3	59.5411507	150.7803449	31	23	1	NA
Marchekan I	Mar_3	59.5411507	150.7803449	31	24	5	32.9
Marchekan I	Mar_3	59.5411507	150.7803449	31	26	9	26.0
Marchekan I	Mar_3	59.5411507	150.7803449	31	27	14	31.2
Marchekan I	Mar_3	59.5411507	150.7803449	31	28	3	27
Marchekan I	Mar_3	59.5411507	150.7803449	31	29	2	27.3
Marchekan I	Mar_3	59.5411507	150.7803449	31	30	10	27.1
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	22
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	24
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	27
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	22
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	24
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	21
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	30
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	27
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	23
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	26
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	22
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	21
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	22
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	21
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	21
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	21
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	17
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	13
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	17
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	18
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	17
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	14
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	14
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	16
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	21
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	19
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	15
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	11
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	15
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	13
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	15
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	14
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	11
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	13
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	13
